Food_ID,Name,C_Type,Veg_Non,Describe
1,adobo,Healthy Food,non-veg,"chicken or pork marinated in soy sauce, vinegar, garlic, and spices, then braised until tender"
2,sinigang,Healthy Food,veg,"tamarind-based soup with meat or seafood, vegetables, and spices"
3,lechon,Healthy Food,non-veg,"whole roasted pig, usually stuffed with herbs and spices"
4,kare-kare,Healthy Food,veg,"oxtail and tripe stew cooked in peanut sauce, with vegetables"
5,pancit,Healthy Food,veg,"stir-fried noodles with meat or seafood, vegetables, and soy sauce"
6,adobong pusit,Healthy Food,non-veg,"squid cooked in vinegar, soy sauce, garlic, and spices"
7,caldereta,Healthy Food,non-veg,"meat stew with tomatoes, potatoes, carrots, and spices"
8,bulalo,Healthy Food,non-veg,beef bone marrow soup with vegetables
9,sisig,Snack,non-veg,"chopped pig's head and liver, seasoned with onions, chili peppers, and vinegar"
10,halo-halo,Dessert,veg,"a mixed dessert with shaved ice, sweet beans, fruits, and other toppings"
11,bangus sisig,Snack,non-veg,"grilled or fried milkfish, chopped and seasoned with onions, chili peppers, and vinegar"
12,longganisa,Healthy Food,non-veg,"Filipino sausage made from ground pork, garlic, and spices"
13,pinakbet,Healthy Food,veg,"vegetable stew with squash, okra, eggplant, and bitter melon, cooked in shrimp paste"
14,laing,Healthy Food,veg,taro leaves cooked in coconut milk and spices
15,bicol express,Healthy Food,veg,pork stew cooked in coconut milk and chili peppers
16,pan de sal,Snack,veg,"soft and fluffy bread rolls, often eaten for breakfast"
17,tinola,Healthy Food,non-veg,"chicken or fish soup with ginger, onions, and green papaya or chayote"
18,pork adobo,Healthy Food,non-veg,"pork marinated in soy sauce, vinegar, garlic, and spices, then braised until tender"
19,sisig tacos,Snack,non-veg,"crispy sisig served in taco shells, with salsa and other toppings"
20,ube halaya,Dessert,veg,"purple yam jam, made from mashed purple yam, coconut milk, and sugar"
21,chicken inasal,Healthy Food,non-veg,"grilled chicken marinated in a mixture of calamansi juice, vinegar, garlic, and spices"
22,kalderetang kambing,Healthy Food,non-veg,"goat meat stew cooked in tomatoes, potatoes, carrots, and spices"
23,bibingka,Dessert,veg,"rice cake made with glutinous rice flour, coconut milk, and sugar, topped with salted duck egg and cheese"
24,kilawin,Snack,non-veg,"ceviche-style dish made with raw fish or seafood, marinated in vinegar, onions, and spices"
25,mango float,Dessert,veg,"layered dessert made with graham crackers, whipped cream, and ripe mangoes"
26,pansit malabon,Healthy Food,veg,"noodle dish topped with seafood, eggs, and a thick sauce made from shrimp"
27,turon,Snack,veg,caramelized banana wrapped in spring roll wrapper and deep-fried
28,tokwa't baboy,Snack,non-veg,"deep-fried tofu and pork belly, served with a vinegar and soy sauce dip"
29,ensaymada,Snack,veg,"sweet bread topped with butter and sugar, often with grated cheese on top"
30,maja blanca,Dessert,veg,"coconut milk-based dessert with cornstarch, sweet corn, and sugar"
31,chicken adobo,Healthy Food,non-veg,"chicken marinated in soy sauce, vinegar, garlic, and spices, then braised until tender"
32,sinangag,Healthy Food,veg,"garlic fried rice, often served with a side of eggs and meat"
33,inihaw na isda,Healthy Food,non-veg,"grilled fish marinated in a mixture of calamansi juice, soy sauce, and spices"
34,pinapaitan,Healthy Food,non-veg,"bitter soup made from beef or goat offal, flavored with bile and spices"
35,champorado,Snack,veg,"sweet chocolate rice porridge, often served with evaporated milk and dried fish"
36,kinilaw,Snack,non-veg,"ceviche-style dish made with raw fish or seafood, marinated in vinegar, citrus juice, onions, and spices"
37,bangus belly,Healthy Food,non-veg,"grilled or fried milkfish belly, often served with vinegar and garlic dip"
38,kare-kareng baka,Healthy Food,non-veg,"beef tripe and tail stew cooked in peanut sauce, with vegetables"
39,tinolang manok,Healthy Food,non-veg,"chicken soup with ginger, onions, and green papaya or chayote"
40,ukoy,Snack,veg,"deep-fried shrimp and vegetable fritters, often served with vinegar dip"
41,bistek tagalog,Healthy Food,non-veg,"beef steak marinated in soy sauce and calamansi juice, cooked with onions"
42,pancit canton,Healthy Food,veg,"stir-fried egg noodles with meat or seafood, vegetables, and soy sauce"
43,adobong kangkong,Healthy Food,veg,"stir-fried water spinach in soy sauce, vinegar, garlic, and spices"
44,leche flan,Dessert,veg,"creamy caramel custard made from egg yolks, condensed milk, and caramel syrup"
45,dynamite lumpia,Snack,veg,"spicy cheese-filled spring rolls, often made with jalapeno peppers"
46,ginataang manok,Healthy Food,non-veg,"chicken cooked in coconut milk, with ginger, garlic, and spices"
47,tapsilog,Healthy Food,non-veg,"combination meal of tapa (marinated beef), sinangag (garlic fried rice), and itlog (fried egg)"
48,sisig fries,Snack,non-veg,"crispy sisig served on top of fries, often with cheese and toppings"
49,bibingka galapong,Dessert,veg,"rice cake made with fermented rice batter, coconut milk, and salted duck eggs"
50,sinigang na hipon,Healthy Food,veg,shrimp and vegetable soup with a tamarind base
51,bulalo sa gata,Healthy Food,non-veg,"beef bone marrow soup cooked in coconut milk, with vegetables and spices"
52,inihaw na baboy,Healthy Food,non-veg,"grilled pork marinated in soy sauce, calamansi juice, garlic, and spices"
53,ginataang langka,Healthy Food,veg,"young jackfruit cooked in coconut milk, with shrimp paste, garlic, and spices"
54,chicken tinola,Healthy Food,non-veg,"chicken soup with ginger, garlic, onions, and green papaya or chayote"
55,pancit bihon,Healthy Food,veg,"stir-fried rice noodles with meat or seafood, vegetables, and soy sauce"
56,lechon kawali,Healthy Food,non-veg,"deep-fried pork belly, crispy on the outside and tender on the inside"
57,kinilaw na tuna,Snack,non-veg,"ceviche-style dish made with raw tuna, marinated in vinegar, calamansi juice, onions, and spices"
58,ensaladang talong,Healthy Food,veg,"grilled eggplant salad with tomatoes, onions, and a vinegar dressing"
59,mango sago,Dessert,veg,"diced ripe mangoes mixed with sago pearls and coconut milk, served chilled"
60,tocino,Healthy Food,non-veg,"cured sweet pork, often served with garlic fried rice and fried egg"
61,sinampalukang manok,Healthy Food,non-veg,"soup made with chicken, tamarind leaves, tomatoes, and spices"
62,adobong baboy,Healthy Food,non-veg,"pork marinated in soy sauce, vinegar, garlic, and spices, then braised until tender"
63,ginataang bilo-bilo,Dessert,veg,"sticky rice balls, sweet potato, jackfruit, and sago pearls cooked in coconut milk"
64,kilawin na tenga ng baboy,Snack,non-veg,"pig's ear cooked in vinegar, calamansi juice, onions, and spices"
65,ginisang monggo,Healthy Food,veg,"mung bean soup with vegetables, often served with fried fish or meat"
66,ginisang sitaw,Healthy Food,veg,"stir-fried string beans with garlic and onions, often served with fried fish or meat"
67,adobong sitaw,Healthy Food,veg,"string beans cooked in soy sauce, vinegar, garlic, and spices"
68,kakanin,Snack,veg,"a variety of traditional Filipino rice cakes, such as bibingka, kutsinta, and sapin-sapin"
69,ensaladang talbos ng kamote,Healthy Food,veg,"boiled sweet potato leaves salad with tomatoes, onions, and a vinegar dressing"
70,ginisang ampalaya,Healthy Food,veg,"stir-fried bitter melon with eggs, tomatoes, and onions"
71,buko pandan,Dessert,veg,gelatin dessert made with young coconut meat and pandan-flavored jelly cubes
72,balut,Snack,non-veg,developing duck embryo boiled and eaten in its shell
73,chicharon,Snack,non-veg,"deep-fried pork rinds, crispy and flavorful"
74,sinanglaw,Healthy Food,non-veg,"Ilocano dish made from beef innards, cooked in a mixture of bile, vinegar, and spices"
